CTY_CD,CTY_NM,TIME_CD,FORN_GB,M_10_CNT,M_15_CNT,M_20_CNT,M_25_CNT,M_30_CNT,M_35_CNT,M_40_CNT,M_45_CNT,M_50_CNT,M_55_CNT,M_60_CNT,M_65_CNT,M_70_CNT,F_10_CNT,F_15_CNT,F_20_CNT,F_25_CNT,F_30_CNT,F_35_CNT,F_40_CNT,F_45_CNT,F_50_CNT,F_55_CNT,F_60_CNT,F_65_CNT,F_70_CNT,ETL_YMD
41173,안양시 동안구,21,내국인,2049.9,3336.5,3405.07,3233.75,3072.62,2827.8,3043.17,3205.31,3407.25,2776.77,2385.69,1446.88,675.6,1770.08,3269.81,2855.03,2799.67,2616.29,2636.53,2847.54,2941.02,3221.51,2371.08,2201.8,1258.28,735.69,20220112
41173,안양시 동안구,21,외국인,0.0,0.0,22.0,22.01,40.68,59.22,42.4,15.25,25.38,22.03,23.64,10.18,3.41,0.0,1.68,57.57,59.19,52.35,25.38,30.39,33.83,25.41,37.21,30.37,10.17,3.4,20220112
41173,안양시 동안구,22,내국인,1490.41,2457.77,2709.11,2650.58,2721.63,2533.19,2703.35,2677.27,2935.17,2290.89,2033.26,1241.3,645.35,1326.12,2254.34,2247.88,2267.28,2345.6,2310.61,2448.22,2557.26,2783.17,2121.22,1943.06,1100.97,613.02,20220112
41173,안양시 동안구,22,외국인,0.0,0.0,13.54,30.46,44.16,52.55,27.14,15.25,20.34,18.67,20.27,8.46,3.41,0.0,3.37,38.97,47.36,42.21,28.76,32.17,21.97,22.0,30.49,27.03,8.49,5.08,20220112
41173,안양시 동안구,23,내국인,1085.6,1408.61,2042.35,2135.32,2243.11,2101.29,2138.41,2140.14,2331.49,1955.57,1617.68,1042.9,555.69,846.8,1215.44,1719.57,1830.61,1880.81,1847.41,1944.35,1955.89,2146.66,1786.95,1650.58,931.04,540.67,20220112
41173,안양시 동안구,23,외국인,0.0,0.0,10.17,22.01,23.75,50.87,27.1,10.18,15.26,10.19,11.82,5.08,3.41,1.69,1.68,22.01,43.91,37.14,20.32,25.42,20.28,18.66,18.67,23.66,5.1,5.08,20220112
41171,안양시 만안구,0,내국인,282.36,494.21,854.33,984.9,943.48,945.31,936.24,726.02,983.03,903.13,935.04,580.62,279.77,317.82,383.85,691.27,763.32,773.43,678.68,772.9,714.61,1003.65,835.74,842.74,486.23,365.05,20220113
41171,안양시 만안구,0,외국인,0.0,0.0,5.05,22.03,15.28,28.67,18.58,13.51,18.61,11.97,5.05,8.43,1.69,0.0,1.69,15.19,15.37,27.07,15.16,10.1,6.78,28.76,21.91,16.87,6.74,3.39,20220113
41171,안양시 만안구,1,내국인,395.35,527.96,956.69,1128.76,1026.51,920.6,1023.08,841.34,1100.11,1063.99,1037.43,709.2,358.87,421.76,438.38,757.91,867.27,834.27,761.71,779.89,777.33,1014.86,877.08,939.29,622.35,421.7,20220113
41171,안양시 만안구,1,외국인,0.0,0.0,8.41,25.41,10.22,32.06,13.56,18.58,21.97,12.0,6.77,13.48,1.69,0.0,0.0,13.54,16.93,32.08,23.62,20.29,15.2,20.3,28.65,21.95,11.8,3.39,20220113
41171,안양시 만안구,2,내국인,389.03,462.66,906.09,998.54,953.85,877.32,944.43,789.04,1018.94,981.75,982.57,651.23,363.98,404.1,441.11,755.55,813.08,743.91,701.09,777.54,732.36,931.71,926.3,910.13,625.79,373.34,20220113
41171,안양시 만안구,2,외국인,0.0,0.0,10.1,21.99,13.53,23.6,18.59,20.22,18.58,13.56,6.77,13.49,1.69,0.0,0.0,15.22,16.94,23.64,21.93,20.26,18.6,22.07,25.28,20.23,13.49,3.39,20220113
41171,안양시 만안구,3,내국인,400.25,473.32,830.53,1040.79,973.68,873.96,893.21,800.73,984.8,956.24,930.42,734.85,359.82,409.61,465.91,742.1,795.21,780.6,707.7,724.24,724.47,967.09,912.95,897.87,623.03,382.03,20220113
41171,안양시 만안구,3,외국인,0.0,0.0,5.05,27.05,15.25,20.27,27.15,18.54,20.28,18.66,11.82,15.17,1.69,0.0,0.0,18.59,13.57,27.03,18.54,21.96,11.83,23.76,23.58,21.92,11.82,3.39,20220113
41171,안양시 만안구,4,내국인,375.9,508.28,850.49,1018.06,954.11,869.19,946.56,810.85,1042.55,1049.21,1000.41,739.01,369.25,407.21,439.71,735.1,780.46,753.18,715.03,698.87,755.05,991.99,934.12,919.63,623.07,392.15,20220113
41171,안양시 만안구,4,외국인,0.0,0.0,5.05,25.38,10.2,28.74,37.25,18.55,27.1,11.88,8.46,16.88,0.0,0.0,0.0,23.66,13.56,30.38,20.24,18.59,13.56,27.13,28.66,21.92,6.75,3.39,20220113
41171,안양시 만안구,5,내국인,366.22,481.48,843.31,1046.62,1027.29,937.93,1043.25,876.82,1128.85,1148.37,1208.96,725.43,400.84,382.17,400.79,747.64,828.01,828.04,757.72,707.96,824.08,1071.37,1043.07,1083.36,675.37,449.06,20220113
41171,안양시 만안구,5,외국인,0.0,0.0,8.45,23.7,27.15,33.86,16.99,23.7,30.79,27.23,11.83,8.44,3.38,0.0,0.0,18.57,11.91,35.53,21.91,11.78,15.27,23.71,25.3,23.63,5.06,3.39,20220113
41171,안양시 만안구,6,내국인,400.6,547.08,937.46,1214.23,1197.67,1153.24,1203.89,1028.29,1398.48,1330.67,1317.83,851.96,498.12,359.07,438.92,878.86,910.64,942.79,798.91,839.94,901.86,1289.8,1170.8,1258.33,794.26,507.1,20220113
41171,안양시 만안구,6,외국인,0.0,0.0,6.73,20.34,40.85,42.27,10.2,40.8,35.8,54.32,20.27,16.94,5.05,0.0,0.0,16.89,11.89,30.48,16.86,21.89,18.76,30.46,33.76,27.0,15.24,5.08,20220113
41171,안양시 만안구,7,내국인,456.48,617.01,1068.22,1373.78,1288.94,1316.27,1425.65,1166.81,1619.05,1446.6,1541.35,1032.28,592.84,390.69,541.27,933.75,1043.18,1046.61,957.35,997.63,1130.86,1490.21,1379.2,1613.63,896.05,567.84,20220113
41171,안양시 만안구,7,외국인,0.0,0.0,10.14,21.98,34.14,42.25,22.17,44.06,35.7,69.48,27.12,16.98,1.68,0.0,0.0,20.23,16.96,40.52,20.23,26.98,28.83,23.7,33.79,25.3,15.29,6.77,20220113
41171,안양시 만안구,8,내국인,542.09,726.34,1324.83,1555.66,1345.24,1462.48,1446.56,1387.65,1787.2,1665.28,1825.77,1213.14,678.52,426.87,620.25,1129.93,1231.25,1055.84,1068.62,1226.08,1378.16,1745.31,1690.01,1966.52,1174.02,664.99,20220113
41171,안양시 만안구,8,외국인,1.71,1.7,15.23,47.34,45.98,47.39,28.95,42.3,37.45,67.74,32.29,27.15,3.37,1.68,0.0,21.93,30.61,47.42,32.03,43.89,37.27,50.86,40.6,32.1,18.59,6.77,20220113
41171,안양시 만안구,9,내국인,627.99,815.54,1397.21,1578.79,1425.27,1503.38,1562.8,1637.99,2022.21,1931.96,2201.77,1389.62,821.49,498.61,769.18,1272.39,1230.99,1216.45,1220.64,1444.45,1623.81,1982.0,1982.11,2280.0,1445.23,769.34,20220113
